county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
Los Angeles,2020-03-30,601.0,1277.0,,,245.0,244.0,456.0
Los Angeles,2020-03-31,713.0,1239.0,,,315.0,239.0,445.0
Los Angeles,2020-04-01,739.0,1332.0,,,335.0,220.0,492.0
Los Angeles,2020-04-02,818.0,1270.0,,,346.0,193.0,488.0
Los Angeles,2020-04-03,962.0,1239.0,,,422.0,209.0,473.0
Los Angeles,2020-04-04,1007.0,1190.0,,,449.0,181.0,537.0
Los Angeles,2020-04-05,1094.0,1082.0,,,473.0,166.0,554.0
Los Angeles,2020-04-06,1166.0,1070.0,,,486.0,175.0,587.0
Los Angeles,2020-04-07,1251.0,1350.0,,,517.0,162.0,603.0
Los Angeles,2020-04-08,1331.0,1077.0,,,532.0,211.0,582.0
Los Angeles,2020-04-09,1368.0,758.0,,,541.0,156.0,569.0
Los Angeles,2020-04-10,1299.0,754.0,,,514.0,142.0,663.0
Los Angeles,2020-04-11,1362.0,905.0,,,555.0,135.0,595.0
Los Angeles,2020-04-12,1433.0,715.0,,,559.0,144.0,564.0
Los Angeles,2020-04-13,1501.0,793.0,,,570.0,150.0,632.0
Los Angeles,2020-04-14,1587.0,613.0,,,588.0,115.0,614.0
Los Angeles,2020-04-15,1624.0,632.0,,,600.0,139.0,566.0
Los Angeles,2020-04-16,1679.0,620.0,,,594.0,108.0,608.0
Los Angeles,2020-04-17,1720.0,634.0,,,594.0,105.0,593.0
Los Angeles,2020-04-18,1709.0,578.0,,,586.0,110.0,579.0
Los Angeles,2020-04-19,1739.0,549.0,,,595.0,115.0,577.0
Los Angeles,2020-04-20,1791.0,602.0,,,625.0,93.0,607.0
Los Angeles,2020-04-21,1854.0,617.0,2471.0,13663.0,613.0,111.0,941.0
